Actual,Predicted,y_score
0,0,0.11720753
0,0,0.11300934
1,1,0.4848442
0,0,0.13790387
0,0,0.14277615
0,0,0.13171083
0,0,0.119316466
0,0,0.1263959
0,0,0.14020376
1,1,0.157148
0,0,0.13731967
0,0,0.12105112
1,1,0.19367331
0,1,0.1561098
1,1,0.36862078
0,0,0.13961026
0,0,0.12935883
1,1,0.42648008
0,1,0.29870954
0,0,0.13989852
0,1,0.16572483
0,0,0.13822225
0,0,0.11281758
0,0,0.13714416
1,1,0.1672913
1,1,0.52364236
0,1,0.4120925
0,0,0.11667833
0,0,0.10927736
1,1,0.15906191
0,0,0.13105926
1,1,0.34151906
0,0,0.12850901
0,0,0.1207405
0,1,0.14540781
1,1,0.16221583
0,0,0.102659
0,0,0.099762514
0,1,0.14546537
0,0,0.10605851
0,0,0.13647525
0,0,0.13988674
0,0,0.13634218
0,1,0.26617414
0,0,0.10884013
0,0,0.1255893
0,1,0.18091194
0,1,0.15986316
0,0,0.13315462
0,0,0.111145206
0,0,0.12036714
0,0,0.14016417
0,1,0.15813042
0,0,0.10325256
0,0,0.120940275
0,1,0.1562951
0,0,0.12618844
1,0,0.14102429
1,0,0.14080903
1,1,0.1525531
1,1,0.16366565
1,1,0.53816986
0,1,0.1822878
1,0,0.13914517
1,1,0.1716394
1,1,0.19542651
0,0,0.12985726
1,1,0.14555667
0,0,0.12349126
0,1,0.14621828
0,0,0.12802902
0,1,0.1535609
1,1,0.32103372
0,0,0.107409745
0,0,0.14024122
0,0,0.13492255
0,0,0.12041143
0,0,0.13820016
0,1,0.1552822
1,1,0.42724344
1,1,0.4494662
0,0,0.1446428
0,0,0.106542595
0,0,0.10226987
1,1,0.26681197
0,1,0.19181956
0,0,0.11107803
0,0,0.1332891
0,1,0.47866583
1,1,0.16604334
1,0,0.13314062
0,0,0.10039979
1,1,0.20649615
0,1,0.15067188
0,0,0.10327395
0,0,0.12667197
1,1,0.262502
1,1,0.26550293
0,0,0.11151809
0,0,0.11871648
0,0,0.11936444
0,1,0.16009127
1,1,0.25773904
0,0,0.13965337
0,1,0.16231136
0,0,0.11359597
0,0,0.11961684
1,1,0.364683
0,0,0.1317378
0,1,0.16393271
0,0,0.1405832
0,0,0.13921224
1,1,0.31448108
0,0,0.11181938
0,0,0.10375587
0,0,0.12921369
0,0,0.11693115
0,1,0.16062213
0,0,0.13657849
0,0,0.13923629
1,0,0.13855046
0,1,0.14506252
1,1,0.38416103
0,0,0.12795737
0,0,0.109209254
1,1,0.1616952
0,0,0.10679237
0,0,0.1244185
0,0,0.11313023
1,0,0.13886043
0,0,0.116489254
0,1,0.20116702
1,1,0.1540382
1,1,0.19918294
1,1,0.16442335
0,0,0.11888446
1,1,0.28689566
1,1,0.35089347
0,0,0.11937749
0,0,0.12073585
0,0,0.09885617
0,0,0.11778287
0,1,0.15887703
1,0,0.13233557
1,1,0.445959
0,1,0.38799766
1,1,0.20818816
0,1,0.15528826
0,0,0.110434376
0,0,0.11343529
0,1,0.15289994
0,0,0.117513135
0,0,0.11162793
0,0,0.14357953
1,0,0.14331724
1,1,0.3485086
1,1,0.16692095
1,1,0.348385
0,0,0.10425231
1,1,0.16354042
1,1,0.1870519
1,1,0.36013547
1,1,0.16381603
0,0,0.13522992
0,0,0.12895045
1,0,0.11900426
0,0,0.11163644
0,0,0.12543267
0,0,0.13131045
1,0,0.13338107
0,1,0.17922188
1,1,0.15731752
0,1,0.24180439
0,0,0.118858255
0,1,0.2416746
0,0,0.12740864
0,1,0.20454966
0,1,0.20630743
0,0,0.09970036
1,0,0.1353021
0,0,0.10120661
0,0,0.13291405
0,0,0.11559782
0,0,0.12400037
0,0,0.11219578
1,1,0.37668258
0,0,0.1426018
1,1,0.4437175
1,0,0.12002496
1,0,0.12975833
0,1,0.15064193
0,0,0.12060958
1,1,0.18349442
1,1,0.16148974
1,1,0.1495262
0,0,0.14369813
0,0,0.1178287
0,1,0.23362896
0,0,0.13525735
0,0,0.11165514
0,0,0.10908214
0,1,0.17618184
0,0,0.14009902
0,0,0.119328626
0,0,0.14411491
1,1,0.1742653
1,0,0.11042306
1,0,0.1299245
1,1,0.46849835
0,1,0.15900564
0,0,0.12258986
0,1,0.14828004
1,0,0.144604
0,0,0.13482113
0,0,0.1366457
0,1,0.21637657
0,1,0.17201634
0,0,0.120939575
0,0,0.113715366
0,1,0.14503199
0,0,0.13456453
1,1,0.15733254
0,1,0.16934681
1,0,0.12631753
0,0,0.11004054
0,1,0.147964
0,1,0.25992665
0,0,0.103562176
0,1,0.15394695
0,0,0.11835512
1,0,0.12555905
0,0,0.13962679
0,0,0.122299895
0,0,0.12785651
0,1,0.14758073
1,1,0.15058132
0,1,0.14518307
0,0,0.13191514
0,0,0.14034452
0,1,0.19368266
0,0,0.13257705
1,0,0.14364254
0,0,0.12874131
0,1,0.19743654
0,1,0.3926386
0,0,0.14107867
1,1,0.4846029
0,0,0.14083546
0,1,0.15706788
0,0,0.14334571
0,1,0.15172908
0,1,0.1765221
1,1,0.1987635
0,1,0.20052798
0,1,0.16251865
1,1,0.43689397
1,1,0.18739837
1,1,0.1578086
0,0,0.11714277
0,1,0.14857428
0,0,0.12485346
0,1,0.33303633
0,0,0.1224686
1,1,0.49527007
0,1,0.15255213
0,0,0.13740446
0,0,0.12402788
0,1,0.3016666
0,0,0.11990346
1,1,0.25903323
0,0,0.09874477
1,1,0.19247513
0,1,0.20364262
0,1,0.30330652
0,1,0.1783668
0,0,0.1430968
1,0,0.12713918
0,0,0.10653595
0,1,0.1674824
0,0,0.121971935
0,0,0.120725326
1,0,0.12154868
0,0,0.10631459
1,1,0.42458504
0,1,0.1480736
1,1,0.5020079
0,0,0.13106948
0,0,0.119919024
1,0,0.11592826
0,1,0.15384556
1,0,0.119301125
0,1,0.15704235
1,1,0.3280813
0,0,0.13108052
1,1,0.26867875
0,1,0.15186884
0,1,0.18360603
0,0,0.13598172
0,0,0.12088883
0,0,0.13617715
1,1,0.16975337
0,0,0.11953029
0,0,0.12111649
0,0,0.12389229
1,1,0.1594077
1,1,0.17230941
1,1,0.2444902
0,1,0.18570541
0,0,0.12453501
1,0,0.14479108
0,1,0.15235336
1,1,0.15503259
0,0,0.114157654
0,0,0.1322512
1,1,0.15148759
1,1,0.2966495
0,0,0.12636933
0,1,0.15458226
0,0,0.120977305
0,0,0.11543659
0,1,0.14587769
1,1,0.35836935
1,1,0.44627228
0,0,0.1125413
1,1,0.18283987
0,0,0.1218514
1,1,0.16704887
0,0,0.13782999
0,0,0.11640102
1,1,0.3507724
0,0,0.1256729
1,1,0.28255263
1,0,0.12777478
1,1,0.1633305
0,0,0.11411434
0,1,0.3851554
0,0,0.112726904
1,1,0.15191434
0,0,0.10485234
0,1,0.16661781
0,1,0.16459215
0,0,0.11139383
0,1,0.24535538
1,1,0.1630929
0,0,0.14133595
0,1,0.19809848
0,0,0.10886488
0,1,0.38087592
0,0,0.11576843
0,0,0.113276124
0,1,0.26409012
1,1,0.15727477
0,1,0.14802654
1,0,0.138229
0,0,0.12050867
1,1,0.22506869
1,1,0.18588148
0,1,0.18996017
1,1,0.3970811
0,1,0.1610023
0,0,0.13418107
0,0,0.119019605
0,1,0.165544
0,1,0.156839
0,0,0.12329055
0,0,0.11733735
0,0,0.12578517
1,1,0.19239381
0,0,0.110647716
1,1,0.51202303
1,0,0.13170677
0,0,0.14274864
1,0,0.12726821
0,0,0.10730168
0,0,0.117510945
0,0,0.11885614
0,1,0.14932129
0,0,0.12275004
0,0,0.12638827
0,1,0.18725446
0,0,0.13253486
0,1,0.16963205
0,1,0.14580514
0,1,0.16331992
0,1,0.1541724
0,1,0.14519966
0,1,0.1577667
1,1,0.15597522
0,0,0.12501852
0,1,0.16635473
0,0,0.12958953
0,1,0.18649459
0,0,0.12065931
1,1,0.19106595
1,1,0.5275439
0,0,0.09900053
1,1,0.49955583
0,1,0.1505705
0,0,0.108187824
1,1,0.48777512
0,1,0.16983768
1,1,0.43056154
0,0,0.12574266
1,1,0.29176545
0,0,0.13283093
0,0,0.11255092
1,1,0.15608573
0,1,0.16570169
1,1,0.2727161
1,0,0.13844985
0,0,0.13685039
0,0,0.11189302
1,1,0.17282917
0,0,0.11911932
1,1,0.43991593
0,0,0.11152304
0,0,0.10398244
0,1,0.17432031
0,1,0.15225273
0,0,0.14394602
0,0,0.11736568
0,0,0.11124772
0,1,0.15624954
1,0,0.118201494
0,0,0.109945536
0,0,0.1198557
0,1,0.17320287
0,1,0.19996531
1,1,0.22444727
0,0,0.12973955
0,0,0.10989964
0,0,0.13759254
0,0,0.10761376
1,1,0.34596476
0,0,0.12563874
0,0,0.11842064
0,0,0.14479177
1,1,0.14611205
1,0,0.11981727
0,1,0.32620883
1,1,0.2254512
1,1,0.3455103
0,1,0.16016056
0,1,0.15084897
1,1,0.2727161
0,0,0.10513004
0,0,0.11602415
0,0,0.113037966
1,1,0.16717252
1,1,0.33795422
0,0,0.112719126
0,1,0.18314995
0,0,0.11362305
1,1,0.16572165
0,1,0.21946739
0,1,0.16858903
0,1,0.2061404
0,0,0.13541934
0,0,0.11527228
0,1,0.15474612
0,0,0.116187856
0,0,0.12673634
1,0,0.113864906
0,1,0.33731526
0,0,0.14311917
0,0,0.12927343
0,0,0.13073663
0,0,0.14326647
0,0,0.14083107
0,0,0.12285697
1,1,0.15361035
0,0,0.10974248
1,0,0.13410081
0,1,0.14642538
0,0,0.11759306
0,1,0.27629626
1,1,0.39891163
0,0,0.12502775
0,0,0.114227034
0,1,0.15022077
0,1,0.15458858
0,0,0.11864301
0,0,0.1151865
1,1,0.17065382
0,1,0.23398754
0,0,0.1396472
0,1,0.15745783
0,1,0.1885353
0,1,0.16405493
0,0,0.121853195
0,0,0.13779251
0,0,0.13377878
1,1,0.22278576
0,0,0.11350076
1,1,0.3848509
0,0,0.13767016
0,0,0.11619105
0,1,0.1456404
0,0,0.14212789
1,1,0.18677291
0,0,0.13803762
0,0,0.1180651
0,0,0.12672059
0,0,0.14268538
0,0,0.10605735
0,0,0.11789133
0,1,0.15790716
1,1,0.1693044
0,1,0.22948831
0,0,0.12064025
1,1,0.14706554
0,0,0.12457154
0,0,0.13960265
0,0,0.13715659
1,1,0.14960064
0,0,0.1246096
1,0,0.14097527
0,0,0.111767106
0,0,0.11791888
0,0,0.13401444
0,0,0.14156996
0,0,0.13035297
0,0,0.1129972
0,1,0.15256523
0,1,0.14893419
1,1,0.50394
0,1,0.157343
0,0,0.12001427
0,0,0.11555047
0,1,0.2525298
0,1,0.15698613
0,0,0.13390037
0,0,0.14236222
1,1,0.5122482
1,1,0.21886107
0,0,0.103633866
0,0,0.124805614
0,0,0.10319204
1,1,0.29817194
1,1,0.17847154
0,0,0.10857581
1,1,0.30925107
1,1,0.41425875
0,0,0.11730017
0,0,0.12023361
1,1,0.14826266
0,0,0.13413821
1,1,0.1479198
0,0,0.13471301
1,0,0.130025
1,1,0.16944696
0,0,0.11054826
0,0,0.1127796
0,1,0.2676511
0,1,0.21266165
0,1,0.1566834
1,0,0.12632637
0,0,0.116033405
0,0,0.12334072
0,1,0.23107037
0,1,0.27335122
