Actual,Predicted,y_score
0,0,0.27211282
0,0,0.20236515
1,1,0.30585778
0,0,0.25894943
0,0,0.21594565
0,0,0.230854
0,0,0.26544958
0,1,0.299453
0,0,0.22525589
0,0,0.23465034
0,1,0.27649367
0,0,0.27237296
0,0,0.25626332
0,0,0.27132273
0,0,0.17204474
0,0,0.25050592
0,0,0.20606607
0,1,0.30265906
0,0,0.22710684
1,1,0.35782883
0,0,0.20305207
0,1,0.35711613
0,0,0.2072807
1,1,0.28865927
0,0,0.25100353
0,0,0.21289384
0,1,0.35634142
0,1,0.28366977
1,1,0.5283308
0,0,0.26298824
0,1,0.36703935
0,0,0.20435712
0,1,0.28999087
0,0,0.19394675
0,0,0.18380846
0,0,0.185293
0,0,0.21931876
0,0,0.21570516
1,1,0.492206
0,0,0.21794458
0,0,0.26549557
0,0,0.25015092
0,1,0.2880662
0,0,0.2663109
1,1,0.32259607
0,0,0.22545585
1,1,0.28783703
1,1,0.28855473
0,0,0.24719925
0,1,0.33518016
0,0,0.19530639
1,1,0.5059658
0,1,0.30567747
0,0,0.21240202
0,0,0.19443431
0,0,0.20565303
0,0,0.24579571
0,0,0.22101274
0,1,0.28497562
1,1,0.2834518
0,0,0.19544615
1,1,0.39811358
0,0,0.22834256
0,0,0.21085794
0,0,0.19585942
0,0,0.17957328
0,1,0.43490946
0,1,0.31681395
0,0,0.2423813
0,0,0.23354608
0,0,0.20475793
1,0,0.25021046
0,1,0.2746454
0,1,0.35550866
0,0,0.23915268
0,0,0.20492682
0,0,0.26311862
0,0,0.19739062
0,0,0.24942653
1,1,0.2933384
1,1,0.30517402
0,0,0.21775761
0,0,0.20320256
0,0,0.17132576
0,1,0.30161086
1,1,0.37007153
0,0,0.19444938
0,0,0.26380935
0,0,0.26831
0,0,0.17894204
1,0,0.20761171
1,1,0.32196707
0,1,0.3245188
1,1,0.29220366
0,0,0.22596917
1,1,0.28918117
0,0,0.20209232
0,0,0.21233343
1,1,0.3147723
0,0,0.2135316
0,1,0.28532192
0,1,0.28797355
0,0,0.25460166
0,0,0.19213834
0,0,0.22605838
1,0,0.21898745
0,0,0.25388947
0,1,0.28302807
0,0,0.26231894
0,0,0.24202326
1,0,0.25375324
0,0,0.25349563
0,0,0.19247878
0,0,0.2516745
0,1,0.34391564
0,0,0.22964582
1,1,0.34578675
1,0,0.23885366
1,1,0.29247296
1,0,0.23835225
1,0,0.26875556
0,1,0.32229823
0,0,0.22695962
0,0,0.20819417
0,0,0.25365943
0,1,0.41159767
0,0,0.265509
0,1,0.38757998
0,0,0.23402292
0,0,0.2720669
0,1,0.37444454
1,1,0.38873607
1,1,0.5281932
0,1,0.2785647
0,0,0.21121733
1,1,0.4941626
1,1,0.5374822
0,0,0.20493542
0,0,0.23483728
0,0,0.20671731
0,1,0.27464727
1,1,0.32303423
0,0,0.26189554
0,1,0.38098723
1,1,0.30586937
0,0,0.2599166
1,0,0.24083681
1,0,0.23795651
1,1,0.42475384
1,1,0.317557
1,1,0.33604243
0,1,0.35324082
1,0,0.24177042
0,0,0.21733578
1,1,0.3119812
0,1,0.4873675
0,1,0.29375276
0,0,0.21726428
0,0,0.2232615
0,0,0.20847617
0,0,0.23124112
1,1,0.2957805
0,0,0.20279053
0,0,0.22405535
0,0,0.243026
0,1,0.2953036
0,0,0.24588157
0,1,0.38970003
0,0,0.21647552
1,1,0.5374251
0,0,0.23603739
0,1,0.33955768
0,0,0.25309566
1,1,0.32394826
0,0,0.24155617
0,0,0.20984037
0,0,0.21806423
0,1,0.43251216
0,0,0.21561235
1,0,0.22168033
0,1,0.30576777
0,0,0.19930252
0,0,0.20808993
1,1,0.5080168
0,1,0.3940284
1,0,0.26961768
0,0,0.1993013
0,0,0.27197027
1,1,0.29070586
0,0,0.18220776
0,0,0.2243599
0,1,0.31698835
0,0,0.2346668
0,0,0.18344754
0,1,0.4326161
1,0,0.26710838
1,1,0.37019238
0,0,0.22851126
0,0,0.25701955
0,0,0.2591459
0,0,0.18071541
0,0,0.19302103
1,0,0.25267005
0,0,0.19937766
0,0,0.22165243
0,0,0.25050452
0,1,0.29800007
1,1,0.4889817
0,0,0.19855405
1,1,0.55830437
0,1,0.358797
0,0,0.2592778
0,0,0.23863406
0,0,0.23275633
0,0,0.22264229
0,1,0.45892143
0,0,0.21385118
0,0,0.18915664
0,0,0.2158907
0,1,0.30799502
0,1,0.2793703
0,0,0.1959588
1,1,0.31399325
0,0,0.20530948
1,1,0.2893799
0,0,0.19631076
0,0,0.18438436
0,1,0.46213982
0,0,0.24302706
1,1,0.43554053
0,1,0.3116829
1,1,0.5054129
0,0,0.25039446
0,1,0.2772473
0,0,0.20082332
0,1,0.33682558
0,1,0.45166907
0,1,0.2957616
0,0,0.23015936
1,1,0.49371222
0,0,0.26318938
