Actual,Predicted,y_score
0,0,0.04772066
0,0,0.03658006
1,0,0.05728828
0,0,0.057343498
0,0,0.038677122
1,0,0.04678792
0,0,0.05966002
0,0,0.06545283
0,0,0.07840307
0,0,0.03480596
0,0,0.06912667
0,0,0.039854556
0,1,0.120779395
0,0,0.075693965
0,0,0.05435748
0,0,0.04248941
0,0,0.07265795
0,0,0.07087103
0,0,0.05645661
0,0,0.053403705
0,0,0.06510032
0,0,0.04247904
0,0,0.06076435
1,1,0.41045907
0,1,0.09908575
0,0,0.03894919
0,0,0.07467254
0,0,0.0418739
0,0,0.03925703
0,1,0.09758103
0,0,0.05227316
1,0,0.067360096
0,0,0.058825295
0,0,0.05064478
1,0,0.07502089
0,0,0.053866908
0,0,0.038330752
0,0,0.052520014
0,0,0.043302365
1,1,0.23757833
1,1,0.87490284
1,1,0.08632786
0,1,0.089856416
1,0,0.061558325
0,0,0.0395235
0,1,0.0876769
0,1,0.084207796
0,1,0.092238605
0,0,0.044398982
1,1,0.60780215
0,0,0.053840537
0,0,0.042863842
0,0,0.060350124
1,0,0.047285948
0,1,0.11522183
0,0,0.047951583
0,0,0.076235995
1,0,0.048072305
0,1,0.08644863
0,1,0.081060626
0,0,0.07239236
0,0,0.049584314
1,1,0.9124397
0,0,0.0769528
1,1,0.6569981
0,1,0.09720903
0,0,0.069056325
0,0,0.052553717
0,1,0.1130173
0,0,0.041613005
1,1,0.6187111
1,1,0.11647317
0,1,0.09624304
0,1,0.1060467
1,1,0.29211724
0,0,0.039321385
1,1,0.80509925
1,1,0.08326183
0,0,0.036530636
0,0,0.04584268
1,1,0.07911024
0,1,0.1054915
1,0,0.06140793
1,1,0.13391322
0,1,0.13548623
0,0,0.051145308
0,0,0.052987058
0,0,0.040588144
0,0,0.03613237
0,0,0.058838375
0,1,0.13649125
1,0,0.066752605
0,0,0.044799734
0,0,0.03976581
1,1,0.64722437
0,0,0.06524292
0,1,0.11330508
0,1,0.12750894
0,1,0.08360688
0,0,0.07486167
1,1,0.13274953
0,0,0.037929658
1,1,0.7974502
0,0,0.049963083
0,0,0.05059493
1,1,0.104439795
0,0,0.042075165
0,1,0.32470167
0,0,0.042071752
1,1,0.7879567
0,1,0.09774791
0,0,0.049387954
0,1,0.08185357
0,0,0.065063074
0,0,0.04274268
0,0,0.058573302
1,0,0.05193359
0,1,0.12501496
1,1,0.2287425
0,0,0.042523816
0,0,0.048164017
0,1,0.110757545
0,0,0.04864697
0,1,0.14494474
0,0,0.038457382
1,1,0.08887507
0,0,0.042946406
1,1,0.16605413
1,1,0.79890007
1,1,0.17076999
0,0,0.03740044
0,0,0.075364955
0,0,0.05681481
1,0,0.053764142
0,1,0.12575331
0,1,0.11710945
1,0,0.06595018
0,0,0.07737405
0,1,0.16250117
1,0,0.07480451
0,1,0.080638774
0,0,0.05064952
0,0,0.07169492
0,0,0.04975956
0,0,0.05837237
0,0,0.043112
0,0,0.07571398
0,0,0.0505265
0,0,0.041837566
1,1,0.37891218
1,0,0.07757738
0,1,0.09888379
1,1,0.16018169
0,0,0.040848546
0,0,0.040543392
0,0,0.06943918
0,0,0.06384172
0,1,0.12574954
0,0,0.057333574
1,0,0.056356095
1,1,0.11531474
0,1,0.105382614
0,1,0.26875904
0,1,0.11736821
1,1,0.09124794
1,1,0.13618402
1,0,0.07676208
1,0,0.07781799
0,0,0.040136848
0,1,0.10434457
0,1,0.4155213
0,1,0.08965173
0,1,0.18378916
0,0,0.041868262
1,1,0.106424235
1,1,0.703615
1,0,0.07395653
1,1,0.43184677
1,1,0.083613336
0,0,0.039846145
1,0,0.054456044
1,0,0.0674668
1,1,0.10714178
0,0,0.051384777
0,1,0.09588384
0,1,0.084843755
0,0,0.047442686
1,1,0.07943753
0,1,0.095683455
0,1,0.09950924
