Actual,Predicted,y_score
0,1,0.59087145
0,1,0.5859776
0,0,0.36344904
0,0,0.38082296
0,0,0.19758679
0,0,0.3990014
0,0,0.37616014
0,1,0.5927098
1,1,0.8280678
1,1,0.6922343
0,0,0.3974097
0,1,0.51033586
0,0,0.44499123
0,0,0.40159112
1,1,0.99999744
1,1,0.907552
0,0,0.22670396
0,0,0.43146336
0,0,0.48095134
0,0,0.40474242
0,1,0.63421816
0,0,0.3283991
0,0,0.3156726
0,0,0.43288824
0,1,0.58139336
0,1,0.5779761
0,1,0.6729277
1,1,0.6879874
0,0,0.38471618
0,1,0.69860005
1,1,0.8599749
0,0,0.29931542
0,0,0.3642721
0,0,0.35270146
0,1,0.6949271
1,0,0.49876693
0,1,0.58905786
0,1,0.8934562
0,0,0.38980845
0,1,0.59345454
1,1,0.6599899
0,1,0.50411403
0,0,0.3123757
0,0,0.3321512
0,1,0.5798661
0,0,0.3594168
0,0,0.35490987
0,0,0.3294738
1,0,0.49648103
0,0,0.35064584
0,0,0.38375396
1,1,0.9999178
0,0,0.2763522
0,0,0.3316251
0,0,0.3526081
0,0,0.32448918
0,0,0.44111982
1,0,0.48505592
0,0,0.3165733
0,0,0.44371334
1,1,0.9979136
1,1,0.99928904
1,1,0.5077067
0,0,0.30989107
1,1,0.5787064
0,0,0.3931767
1,1,0.5231066
1,0,0.3368789
0,0,0.37552297
0,0,0.4563578
0,0,0.34312412
0,0,0.31270802
0,0,0.130486
0,0,0.3529195
0,0,0.32960397
1,0,0.39301977
0,0,0.37051982
0,0,0.34686944
0,1,0.5974823
0,0,0.35610983
0,1,0.73341644
1,0,0.42392126
0,0,0.3329961
1,1,0.9124138
0,0,0.32779253
1,1,0.9999196
1,1,0.73450375
0,0,0.3036491
1,1,0.5276681
0,0,0.32076973
0,0,0.32756573
0,0,0.29307023
1,0,0.49185005
1,1,0.5434713
1,1,0.5787961
0,0,0.317375
0,0,0.36387202
0,1,0.6281042
1,1,0.584885
0,0,0.38919905
0,0,0.4464622
1,1,0.9585554
0,0,0.34146985
0,0,0.29032314
0,0,0.34993327
0,0,0.28560314
0,0,0.4881055
0,1,0.5167016
0,0,0.28444114
0,0,0.15414299
0,1,0.53631186
0,0,0.3578139
0,0,0.26189113
0,0,0.28212404
0,0,0.34080085
0,0,0.10139782
0,0,0.26641652
1,1,0.7066268
0,0,0.4583382
0,0,0.32990837
0,0,0.28941992
0,0,0.2778966
0,0,0.24965397
0,1,0.94767714
0,1,0.51027036
0,0,0.32768196
0,0,0.33681422
0,0,0.29646394
0,0,0.27311522
0,0,0.3384277
0,0,0.3704929
0,0,0.2804101
1,1,0.7117437
1,0,0.34426463
1,1,0.5786853
0,1,0.70680976
0,0,0.28448734
1,1,0.9999991
0,0,0.123443656
0,0,0.44927344
0,0,0.33618742
1,0,0.29386225
0,1,0.5882039
0,0,0.30378655
1,1,0.50189173
0,0,0.27058524
0,0,0.39231467
0,0,0.31819522
0,1,0.5236337
0,0,0.2784977
0,0,0.19411816
0,0,0.12138285
0,0,0.30771777
0,0,0.35840002
0,0,0.3812048
0,0,0.08825176
0,0,0.059836015
1,1,0.6069068
0,0,0.31155565
0,0,0.26703912
1,0,0.4540899
0,0,0.26598534
0,0,0.30493805
1,0,0.4166073
0,0,0.24299419
