URL,URLLength,Domain,DomainLength,IsDomainIP,TLD,URLSimilarityIndex,CharContinuationRate,TLDLegitimateProb,URLCharProb,TLDLength,NoOfSubDomain,HasObfuscation,NoOfObfuscatedChar,ObfuscationRatio,NoOfLettersInURL,LetterRatioInURL,NoOfDegitsInURL,DegitRatioInURL,NoOfEqualsInURL,NoOfQMarkInURL,NoOfAmpersandInURL,NoOfOtherSpecialCharsInURL,SpacialCharRatioInURL,IsHTTPS,LineOfCode,LargestLineLength,HasTitle,Title,DomainTitleMatchScore,URLTitleMatchScore,HasFavicon,Robots,IsResponsive,NoOfURLRedirect,NoOfSelfRedirect,HasDescription,NoOfPopup,NoOfiFrame,HasExternalFormSubmit,HasSocialNet,HasSubmitButton,HasHiddenFields,HasPasswordField,Bank,Pay,Crypto,HasCopyrightInfo,NoOfImage,NoOfCSS,NoOfJS,NoOfSelfRef,NoOfEmptyRef,NoOfExternalRef,label,is_alive
http://www.fast.fbcode.co,24,www.fast.fbcode.co,18,0,786,65.17006803,0.636363636,0.0059772,0.055657086,2,2,0,0,0.0,11,0.458,0,0.0,0,0,0,2,0.083,0,8,41,1,fastfbode,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
https://www.24foundation.org,27,www.24foundation.org,20,0,329,100.0,1.0,0.0799628,0.054582098,3,1,0,0,0.0,12,0.444,2,0.074,0,0,0,1,0.037,1,582,1816,1,24foundation,100.0,100.0,1,1,1,0,0,0,0,4,0,1,0,0,0,0,0,0,1,19,10,21,70,1,82,1,True
https://www.webrtc-experiment.com,32,www.webrtc-experiment.com,25,0,219,100.0,0.647058824,0.5229071,0.060300628,3,1,0,0,0.0,18,0.562,0,0.0,0,0,0,2,0.062,1,159,457,1,webrtc-experiment,100.0,100.0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,5,0,6,10,0,43,1,True
https://www.nottinghamshirewildlife.org,38,www.nottinghamshirewildlife.org,31,0,329,100.0,1.0,0.0799628,0.056109413,3,1,0,0,0.0,25,0.658,0,0.0,0,0,0,1,0.026,1,2366,43159,1,nottinghamshirewildlife,100.0,100.0,1,0,1,0,0,1,0,2,0,1,1,1,0,0,0,1,1,63,5,17,132,0,68,1,True
https://solitary-thunder-4872.9v7c3iwe.workers.dev/,51,solitary-thunder-4872.9v7c3iwe.workers.dev,42,0,487,32.81653747,0.342105263,0.0009613,0.043521605,3,2,0,0,0.0,30,0.588,7,0.137,0,0,0,6,0.118,1,2,59,0,0,0.0,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,True
https://www.webiztlv.co.il,25,www.webiztlv.co.il,18,0,674,100.0,0.818181818,0.0013543,0.048977944,2,2,0,0,0.0,11,0.44,0,0.0,0,0,0,2,0.08,1,6366,9770,1,webztlvco,0.0,0.0,0,1,1,1,0,1,2,2,1,1,1,1,0,0,1,0,0,138,26,45,78,6,98,1,True
https://www.museumruse.com,25,www.museumruse.com,18,0,219,100.0,1.0,0.5229071,0.062222188,3,1,0,0,0.0,12,0.48,0,0.0,0,0,0,1,0.04,1,739,9493,1,museumruse,100.0,100.0,0,1,1,0,0,0,0,0,0,1,1,1,1,0,0,0,1,13,5,12,50,3,53,1,True
https://www.arara.org,20,www.arara.org,13,0,329,100.0,1.0,0.0799628,0.076178673,3,1,0,0,0.0,7,0.35,0,0.0,0,0,0,1,0.05,1,313,369,1,arara,100.0,100.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,1,1,0,7,1,True
https://www.npcc.org.sg,22,www.npcc.org.sg,15,0,77,100.0,0.625,0.0008953,0.059567311,2,2,0,0,0.0,8,0.364,0,0.0,0,0,0,2,0.091,1,408,673,1,npccorg,0.0,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,19,6,10,0,1,13,1,True
https://www.thecoast.ca,22,www.thecoast.ca,15,0,950,100.0,1.0,0.0101825,0.06762897,2,1,0,0,0.0,9,0.409,0,0.0,0,0,0,1,0.045,1,3177,649,1,theoast,0.0,0.0,1,0,1,1,0,1,0,2,0,1,1,1,0,0,0,0,1,28,5,23,163,2,177,1,True
https://www.hole-in-the-wall.com,31,www.hole-in-the-wall.com,24,0,219,100.0,0.3125,0.5229071,0.060085611,3,1,0,0,0.0,15,0.484,0,0.0,0,0,0,4,0.129,1,397,379,1,hole-in-the-wall,100.0,100.0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,16,1,1,0,0,10,1,True
https://www.telegram.im,22,www.telegram.im,15,0,179,100.0,1.0,0.0001564,0.063765332,2,1,0,0,0.0,9,0.409,0,0.0,0,0,0,1,0.045,1,221,918,1,telegram,100.0,100.0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,4,8,12,7,0,9,1,True
https://www.line49.ca,20,www.line49.ca,13,0,950,100.0,1.0,0.0101825,0.046829675,2,1,0,0,0.0,5,0.25,2,0.1,0,0,0,1,0.05,1,1636,16402,1,line49,100.0,100.0,0,1,1,0,0,1,0,0,0,1,0,1,0,0,1,0,1,63,6,8,51,0,35,1,True
https://www.mamedev.org,22,www.mamedev.org,15,0,329,100.0,1.0,0.0799628,0.065511717,3,1,0,0,0.0,9,0.409,0,0.0,0,0,0,1,0.045,1,537,805,1,mamedev,100.0,100.0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,1,0,1,2,5,2,64,5,16,1,True
https://www.spotimaging.com,26,www.spotimaging.com,19,0,219,100.0,1.0,0.5229071,0.061314986,3,1,0,0,0.0,13,0.5,0,0.0,0,0,0,1,0.038,1,678,1954,1,spotimaging,100.0,100.0,1,1,1,0,0,1,0,2,0,1,0,0,0,0,0,0,1,38,10,20,86,5,100,1,True
https://www.capstarbank.com,26,www.capstarbank.com,19,0,219,100.0,1.0,0.5229071,0.060514047,3,1,0,0,0.0,13,0.5,0,0.0,0,0,0,1,0.038,1,1472,1989,1,capstarbank,100.0,100.0,1,0,1,0,0,0,0,2,0,1,0,1,1,1,0,0,1,10,3,15,47,3,37,1,True
https://www.bwpinebluffar.com,28,www.bwpinebluffar.com,21,0,219,100.0,1.0,0.5229071,0.047661252,3,1,0,0,0.0,15,0.536,0,0.0,0,0,0,1,0.036,1,497,673,1,bwpinebluffar,100.0,100.0,1,1,1,1,0,1,0,1,0,1,1,1,0,0,0,0,1,22,5,12,3,3,18,1,True
https://www.scientology-fso.org,30,www.scientology-fso.org,23,0,329,100.0,0.8,0.0799628,0.063787343,3,1,0,0,0.0,16,0.533,0,0.0,0,0,0,2,0.067,1,9297,2230,1,scientology-fso,100.0,100.0,1,1,1,0,0,1,0,0,0,1,0,0,0,1,1,0,1,79,29,23,316,1,106,1,True
https://www.doradcasmaku.pl,26,www.doradcasmaku.pl,19,0,101,100.0,1.0,0.0069695,0.056331395,2,1,0,0,0.0,13,0.5,0,0.0,0,0,0,1,0.038,1,2184,6949,1,doradcasmaku,100.0,100.0,1,0,1,0,0,1,0,2,0,1,1,0,0,0,0,0,1,63,6,6,116,1,28,1,True
https://www.biodigital.com,25,www.biodigital.com,18,0,219,100.0,1.0,0.5229071,0.060672809,3,1,0,0,0.0,12,0.48,0,0.0,0,0,0,1,0.04,1,702,1804,1,biodigital,100.0,100.0,1,1,1,0,0,1,0,4,0,1,0,0,0,0,0,0,1,6,2,10,45,0,22,1,True
https://www.kosmetikahrou.cz,27,www.kosmetikahrou.cz,20,0,713,100.0,1.0,0.0036307,0.059577474,2,1,0,0,0.0,14,0.519,0,0.0,0,0,0,1,0.037,1,488,746,1,kosmetikahrou,100.0,100.0,1,0,1,0,0,1,0,2,0,1,0,0,0,0,0,0,0,23,5,16,76,0,59,1,True
https://www.vecap.info,21,www.vecap.info,14,0,713,100.0,1.0,0.0075051,0.051921837,4,1,0,0,0.0,8,0.381,0,0.0,0,0,0,1,0.048,1,210,702,1,vecap,100.0,100.0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,1,5,0,4,28,0,23,1,True
https://jemi.so/agricole-dsp2---caisse-regionale,48,jemi.so,7,0,17,27.60060976,1.0,0.0001583,0.062706505,2,0,0,0,0.0,32,0.667,1,0.021,0,0,0,7,0.146,1,7,4617,0,0,0.0,0.0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,2,1,0,1,0,True
https://www.highfrequencyelectronics.com,39,www.highfrequencyelectronics.com,32,0,219,100.0,1.0,0.5229071,0.058127124,3,1,0,0,0.0,26,0.667,0,0.0,0,0,0,1,0.026,1,1160,743,1,highfrequencyelectronics,100.0,100.0,0,0,0,0,0,1,0,2,0,1,0,1,0,1,1,0,1,43,11,18,49,2,23,1,True
https://www.boe.ca.gov,21,www.boe.ca.gov,14,0,341,100.0,0.666666667,0.0033282,0.071387009,3,2,0,0,0.0,7,0.333,0,0.0,0,0,0,2,0.095,1,983,959,1,boeca,0.0,0.0,1,0,1,0,0,1,0,0,0,1,1,1,0,1,1,0,1,23,18,21,85,1,18,1,True
https://www.seattlechannel.org,29,www.seattlechannel.org,22,0,329,100.0,1.0,0.0799628,0.066215142,3,1,0,0,0.0,16,0.552,0,0.0,0,0,0,1,0.034,1,1209,2116,1,seattlechannel,100.0,100.0,1,1,1,0,0,1,0,4,0,1,1,0,0,0,0,0,1,128,10,21,237,0,15,1,True
https://www.marinadelreyfoods.com,32,www.marinadelreyfoods.com,25,0,219,100.0,1.0,0.5229071,0.063999493,3,1,0,0,0.0,19,0.594,0,0.0,0,0,0,1,0.031,1,722,9381,1,marinadelreyfoods,100.0,100.0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,14,14,21,41,1,46,1,True
https://www.put.ac.ir,20,www.put.ac.ir,13,0,498,100.0,0.666666667,0.0012232,0.054917037,2,2,0,0,0.0,6,0.3,0,0.0,0,0,0,2,0.1,1,1911,14961,1,putac,0.0,0.0,1,1,1,1,1,1,1,0,0,0,0,1,0,0,0,0,1,29,16,17,107,1,101,1,True
https://www.logobee.com,22,www.logobee.com,15,0,219,100.0,1.0,0.5229071,0.072554802,3,1,0,0,0.0,9,0.409,0,0.0,0,0,0,1,0.045,1,1981,1466,1,logobee,100.0,100.0,1,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,1,73,12,12,132,1,76,1,True
https://www.rediris.es,21,www.rediris.es,14,0,134,100.0,1.0,0.0064109,0.064450817,2,1,0,0,0.0,8,0.381,0,0.0,0,0,0,1,0.048,1,727,327,1,rdiris,0.0,0.0,0,0,0,0,0,1,0,3,0,1,1,1,0,0,0,0,1,67,3,6,90,0,98,1,True
https://www.estrellainsurance.com,32,www.estrellainsurance.com,25,0,219,100.0,1.0,0.5229071,0.06664396,3,1,0,0,0.0,19,0.594,0,0.0,0,0,0,1,0.031,1,602,959,1,estrellainsurance,100.0,100.0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,1,0,0,4,2,13,59,0,9,1,True
https://www.nalunch.ru,21,www.nalunch.ru,14,0,73,100.0,1.0,0.0180132,0.053771064,2,1,0,0,0.0,8,0.381,0,0.0,0,0,0,1,0.048,1,704,310,1,nalunch,100.0,100.0,0,0,1,0,0,1,0,1,0,1,0,0,0,1,0,0,1,71,6,11,37,3,14,1,True
https://www.concerthallorganisation.eu,37,www.concerthallorganisation.eu,30,0,787,100.0,1.0,0.0056158,0.066812117,2,1,0,0,0.0,24,0.649,0,0.0,0,0,0,1,0.027,1,687,8156,1,concrthallorganisation,0.0,0.0,1,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,43,6,12,24,0,51,1,True
https://www.ralston.ac,21,www.ralston.ac,14,0,593,100.0,1.0,5.74e-05,0.067331044,2,1,0,0,0.0,8,0.381,0,0.0,0,0,0,1,0.048,1,1187,454,1,rlston,0.0,0.0,1,0,1,0,0,1,0,2,0,1,1,1,0,0,0,0,1,28,2,4,96,0,18,1,True
https://www.svenskaspel.se,25,www.svenskaspel.se,18,0,63,100.0,1.0,0.0040185,0.052948597,2,1,0,0,0.0,12,0.48,0,0.0,0,0,0,1,0.04,1,938,5032,1,venkapel,0.0,0.0,1,1,1,0,0,1,0,1,0,1,0,0,0,1,1,0,1,31,46,99,73,0,13,1,True
http://www.googmail.org,22,www.googmail.org,16,0,329,72.17630854,1.0,0.0799628,0.06751505,3,1,0,0,0.0,10,0.455,0,0.0,0,0,0,1,0.045,0,2,30,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
